Capa1,Capa2,Razon,TrainMSE,ValidMSE,TestMSE
10,10,0.05,0.0121980756545943,0.0120967777466478,0.0127559722621673
10,20,0.05,0.0121795454508303,0.0118953952545412,0.0129955231376638
10,30,0.05,0.0119181039650289,0.0119621102329969,0.0127240421313613
10,40,0.05,0.0117737212006775,0.0117023176215347,0.0122549227749527
20,10,0.05,0.010729859381848,0.0112352839345503,0.0116977584286237
20,20,0.05,0.0106234460704876,0.0109343443080067,0.0115244095993805
20,30,0.05,0.0116126668434569,0.0119865140445323,0.0125259116412396
20,40,0.05,0.011334196805639,0.0120224085085004,0.0124966122077778
30,10,0.05,0.0113221498629914,0.0120031873910282,0.0124513769817938
30,20,0.05,0.0108189035111207,0.0117818811704621,0.011965690886984
30,30,0.05,0.0115099163012607,0.0120897434882207,0.0125322033215233
30,40,0.05,0.0114245482484124,0.0118981436653573,0.0124769701343443
40,10,0.05,0.0111052100759139,0.0112738813764337,0.0120126100563679
40,20,0.05,0.0110285594509717,0.0114580414539641,0.012180872320446
40,30,0.05,0.010991310970877,0.0114013000299579,0.0119547511640875
40,40,0.05,0.0110204609906128,0.0116467972997067,0.0120935578470729
10,10,0.15,0.0114238532828936,0.0110123253246959,0.0124288544351545
10,20,0.15,0.0109672055324099,0.0116807551719562,0.0121024928061087
10,30,0.15,0.0109579445797296,0.011796629773332,0.0124669771428868
10,40,0.15,0.0107860941608699,0.0107348424983521,0.0116451349424368
20,10,0.15,0.00991914973456179,0.0107683628087628,0.0117173387391304
20,20,0.15,0.0103177739532397,0.011319211589001,0.0121220671953098
20,30,0.15,0.0100023047760003,0.0111653973626453,0.0120497823277961
20,40,0.15,0.00937570366983391,0.0110324705927593,0.0111816162758545
30,10,0.15,0.00983341066620524,0.0110182970908102,0.0115785963413579
30,20,0.15,0.0100695719377003,0.0113103103417822,0.0120621313528082
30,30,0.15,0.00989521156865533,0.0112010086274211,0.0120857259820039
30,40,0.15,0.0108357179445984,0.0116231412787231,0.0120781000848378
40,10,0.15,0.010219716899449,0.0110142189037487,0.011700781909762
40,20,0.15,0.0101358729836911,0.0113531321428334,0.012069402943084
40,30,0.15,0.0112565030124295,0.0114071515701727,0.0120827921280773
40,40,0.15,0.0105170479592529,0.0115279825950466,0.0121731050725056
10,10,0.25,0.0113935737246774,0.0113974026650912,0.0125146857012331
10,20,0.25,0.0106646646159828,0.0112326260052768,0.0119180660206302
10,30,0.25,0.0111316655415341,0.0114304025918679,0.0121541077925771
10,40,0.25,0.0108686285817621,0.0113029492087678,0.0118491225997535
20,10,0.25,0.0106408108567824,0.0111183952979264,0.0121368078793012
20,20,0.25,0.00989856824715893,0.0109209045121418,0.0115739554839198
20,30,0.25,0.0101776096871475,0.01133335375149,0.0120536482048783
20,40,0.25,0.00963801203317557,0.011276803040111,0.0116463435067153
30,10,0.25,0.0101041888823431,0.0105340416300924,0.0116167263932986
30,20,0.25,0.0115359900692463,0.0117392289983148,0.0121755761909722
30,30,0.25,0.0105633909388591,0.0109447273342187,0.0119940880625757
30,40,0.25,0.00952671766976567,0.0112504379367901,0.0113850242970443
40,10,0.25,0.0115709114713241,0.0113270506882847,0.0121357774163595
40,20,0.25,0.00963280290081998,0.0109313209738445,0.0120014403609373
40,30,0.25,0.00985802421938393,0.0114434931037581,0.0123630346286195
40,40,0.25,0.0154061530497199,0.014419918345431,0.0152262974639235
10,10,0.35,0.0110629431030145,0.0110982708134811,0.0121544100712586
10,20,0.35,0.0104839969331299,0.0107051620146716,0.0117019900480194
10,30,0.35,0.0110134928626539,0.011747275768288,0.0123234156290669
10,40,0.35,0.0107264853213837,0.0109490027680956,0.0119394220597583
20,10,0.35,0.0114301026208705,0.0114803723465342,0.0121124621836198
20,20,0.35,0.0111544858105418,0.0113043440779232,0.0119865310783678
20,30,0.35,0.0116670079898781,0.0117680218960094,0.0121858338268943
20,40,0.35,0.00939921539587928,0.0112364748144608,0.0115625869284932
30,10,0.35,0.0102233346279992,0.011075625487545,0.0116617475077208
30,20,0.35,0.00963322765673451,0.0113225597427315,0.0119503784300037
30,30,0.35,0.0102966833449179,0.0116059307071211,0.0122954839293305
30,40,0.35,0.011755302320389,0.0119293242621829,0.0125187928316499
40,10,0.35,0.0102788932691346,0.011052186534302,0.0119959545090759
40,20,0.35,0.00940992352560165,0.0113353898363542,0.0120802024311421
40,30,0.35,0.011725320877645,0.0116742386254734,0.0122980692315031
40,40,0.35,0.00957079353479211,0.0115601478705287,0.0123425666926008
10,10,0.45,0.0111019753943358,0.0112199450442899,0.0120745240732132
10,20,0.45,0.0104448508573376,0.01103101980529,0.011934898871404
10,30,0.45,0.0108114197842388,0.0114944091402396,0.0121265199062691
10,40,0.45,0.010274782752775,0.0114065846093739,0.0120030802953742
20,10,0.45,0.010642061973887,0.0113294940375834,0.0119874613282642
20,20,0.45,0.0100856430680128,0.0109602522218067,0.0118083654270334
20,30,0.45,0.0113408052991782,0.0116360320200731,0.0123698329199729
20,40,0.45,0.0115519620969296,0.0115515140431063,0.0122085144351239
30,10,0.45,0.0108678778234899,0.0110072374309261,0.0120425304879542
30,20,0.45,0.0112585091060453,0.0116567901033827,0.0122604828980151
30,30,0.45,0.00966736594501327,0.0119946234156692,0.0127388085444291
30,40,0.45,0.0112432979417859,0.0114875242282251,0.012146185380357
40,10,0.45,0.0103716280507926,0.0115460510213558,0.011792020440612
40,20,0.45,0.00908634699984756,0.0119262784870811,0.0122828216463355
40,30,0.45,0.0111927762643995,0.0112136602945527,0.0119667621733512
40,40,0.45,0.00875893080639527,0.0112025610782248,0.0119841159467309
10,10,0.55,0.0113281031325415,0.0117021945376512,0.0125768059254693
10,20,0.55,0.0109485911979417,0.0115409099857658,0.0120130417363906
10,30,0.55,0.0100482577378463,0.0115734086127695,0.0121550665314545
10,40,0.55,0.0101573376067036,0.0110316694188806,0.011591540941906
20,10,0.55,0.0102139315391243,0.0116347263792422,0.0121890438549586
20,20,0.55,0.0088926434197206,0.010897399578461,0.0115475750113358
20,30,0.55,0.0111128491424744,0.0119195394900066,0.0123961258241627
